Protein FDR Confidence Combined	Master	Accession	Description	% Coverage	# Peptides	# PSMs	# Unique Peptides	MW in kDa	Gene Symbol	Abundance 1161573	Abundance 1161574	Abundance 1161575	Abundance 1161576	Abundance 1161577	Abundance 1161578																																		
High	Master Protein	Q9Y4L1	Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1	57	43	311	43	111.3	HYOU1	3.29E+08	2.92E+08	3.57E+08	2.52E+08	2.40E+08	2.57E+08																																		
High	Master Protein	Q14152	Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1	42	54	310	54	166.5	EIF3A	2.37E+08	2.02E+08	2.44E+08	1.77E+08	1.62E+08	1.81E+08																																		
High	Master Protein	P13667	Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2	56	36	309	36	72.9	PDIA4	4.35E+08	4.32E+08	4.03E+08	3.16E+08	3.09E+08	3.48E+08																																		
High	Master Protein	P40939	"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2"	56	34	309	34	82.9	HADHA	3.70E+08	3.12E+08	4.27E+08	3.95E+08	3.80E+08	4.45E+08																																		
High	Master Protein	P23528	Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3	81	22	308	16	18.5	CFL1	2.03E+09	1.60E+09	2.08E+09	2.00E+09	1.95E+09	1.90E+09																																		
High	Master Protein	P61981	14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2	66	17	305	11	28.3	YWHAG	1.68E+08	1.20E+08	1.60E+08	1.09E+08	1.12E+08	1.12E+08																																		
High	Master Protein	P26599	Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1	67	22	304	19	57.2	PTBP1	5.23E+08	3.53E+08	5.43E+08	4.93E+08	4.04E+08	4.40E+08																																		
High	Master Protein	Q9NYU2	UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens OX=9606 GN=UGGT1 PE=1 SV=3	49	51	303	51	177.1	UGGT1	1.38E+08	9.31E+07	1.55E+08	1.16E+08	1.07E+08	1.12E+08																																		
High	Master Protein	P26641	Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3	76	29	301	29	50.1	EEF1G	7.79E+08	5.70E+08	8.74E+08	5.94E+08	5.62E+08	6.71E+08																																		
High	Master Protein	O43143	ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2	56	36	299	35	90.9	DHX15	2.76E+08	1.76E+08	2.78E+08	1.88E+08	1.81E+08	2.09E+08																																		
High	Master Protein	P05141	ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7	58	18	298	7	32.8	SLC25A5	1.51E+09	1.35E+09	1.52E+09	1.30E+09	1.19E+09	1.28E+09																																		
High	Master Protein	Q58FG1	Putative heat shock protein HSP 90-alpha A4 OS=Homo sapiens OX=9606 GN=HSP90AA4P PE=5 SV=1	10	4	298	1	47.7	HSP90AA4P	1.14E+06	9.61E+05	8.94E+05	7.31E+05	6.97E+05	6.68E+05																																		
High	Master Protein	P27816	Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3	59	49	297	49	120.9	MAP4	1.98E+08	2.02E+08	1.97E+08	1.45E+08	1.45E+08	1.55E+08																																		
High	Master Protein	P07339	Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1	48	15	297	15	44.5	CTSD	1.46E+09	1.18E+09	1.35E+09	8.05E+08	8.35E+08	9.77E+08																																		
High	Master Protein	P25705	"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1"	67	33	295	33	59.7	ATP5F1A	1.05E+09	1.03E+09	1.22E+09	9.36E+08	9.99E+08	9.50E+08																																		
High	Master Protein	Q92598	Heat shock protein 105 kDa OS=Homo sapiens OX=9606 GN=HSPH1 PE=1 SV=1	62	43	294	40	96.8	HSPH1	3.28E+08	2.71E+08	3.27E+08	2.43E+08	2.52E+08	2.74E+08																																		
High	Master Protein	P50395	Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2	79	32	293	24	50.6	GDI2	8.28E+08	5.40E+08	8.24E+08	5.33E+08	6.85E+08	7.41E+08																																		
High	Master Protein	P27824	Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2	53	36	290	36	67.5	CANX	6.69E+08	6.24E+08	7.05E+08	6.16E+08	6.23E+08	6.84E+08																																		
High	Master Protein	P25205	DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3	60	41	289	41	90.9	MCM3	2.38E+08	2.15E+08	2.53E+08	1.38E+08	1.36E+08	3.22E+08																																		
High	Master Protein	P11940	Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2	59	30	284	10	70.6	PABPC1	5.68E+08	5.20E+08	5.65E+08	4.48E+08	4.11E+08	4.19E+08																																		
High	Master Protein	Q04917	14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4	57	15	282	11	28.2	YWHAH	5.69E+07	4.13E+07	5.82E+07	3.29E+07	4.87E+07	4.58E+07																																		
High	Master Protein	P05023	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1	43	38	279	38	112.8	ATP1A1	3.17E+08	2.76E+08	2.86E+08	3.36E+08	3.65E+08	3.56E+08																																		
High	Master Protein	Q14974	Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2	56	35	278	35	97.1	KPNB1	4.30E+08	3.36E+08	5.44E+08	3.22E+08	3.81E+08	3.66E+08																																		
High	Master Protein	P41252	"Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS1 PE=1 SV=2"	52	51	276	51	144.4	IARS1	2.09E+08	1.81E+08	2.08E+08	1.59E+08	1.67E+08	1.77E+08																																		
High	Master Protein	P15311	Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4	54	34	275	22	69.4	EZR	2.57E+08	2.25E+08	2.70E+08	2.05E+08	1.91E+08	1.86E+08																																		
High	Master Protein	Q8WUM4	Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP PE=1 SV=1	60	43	272	43	96	PDCD6IP	3.57E+08	3.22E+08	3.57E+08	2.91E+08	2.78E+08	3.16E+08																																		
High	Master Protein	P19367	Hexokinase-1 OS=Homo sapiens OX=9606 GN=HK1 PE=1 SV=3	53	42	271	38	102.4	HK1	3.70E+08	3.14E+08	3.67E+08	2.59E+08	2.86E+08	2.82E+08																																		
High	Master Protein	Q9BSJ8	Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1	53	38	270	38	122.8	ESYT1	3.36E+08	2.36E+08	3.86E+08	2.82E+08	3.07E+08	2.96E+08																																		
High	Master Protein	O60506	Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2	57	32	269	24	69.6	SYNCRIP	6.91E+08	4.84E+08	7.12E+08	4.53E+08	4.70E+08	5.11E+08																																		
High	Master Protein	Q15393	Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4	43	41	268	41	135.5	SF3B3	2.18E+08	1.46E+08	2.12E+08	1.54E+08	1.53E+08	1.63E+08																																		
High	Master Protein	Q00839	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	43	30	268	30	90.5	HNRNPU	6.67E+08	5.84E+08	6.30E+08	4.87E+08	4.55E+08	4.72E+08																																		
High	Master Protein	P55786	Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2	61	41	267	41	103.2	NPEPPS	3.73E+08	3.33E+08	3.49E+08	3.34E+08	3.22E+08	3.38E+08																																		
High	Master Protein	P63010	AP-2 complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1	54	38	267	23	104.5	AP2B1	1.26E+08	9.78E+07	1.38E+08	1.17E+08	9.33E+07	1.15E+08																																		
High	Master Protein	P06396	Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1	61	33	264	33	85.6	GSN	3.58E+08	3.20E+08	3.58E+08	5.92E+08	6.29E+08	6.34E+08																																		
High	Master Protein	P60174	Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=4	90	19	264	19	26.7	TPI1	1.87E+09	1.37E+09	1.84E+09	1.11E+09	1.40E+09	1.46E+09																																		
High	Master Protein	P07355	Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2	71	23	263	23	38.6	ANXA2	8.51E+08	7.15E+08	8.20E+08	1.80E+09	1.49E+09	1.66E+09																																		
High	Master Protein	Q16531	DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1	46	43	260	43	126.9	DDB1	3.24E+08	2.27E+08	3.07E+08	2.42E+08	2.06E+08	2.33E+08																																		
High	Master Protein	Q9NY33	Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=2	64	31	260	31	82.5	DPP3	2.74E+08	2.01E+08	2.80E+08	2.21E+08	2.28E+08	2.27E+08																																		
High	Master Protein	P18669	Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2	80	17	259	11	28.8	PGAM1	5.93E+08	5.12E+08	6.17E+08	4.49E+08	4.02E+08	4.25E+08																																		
High	Master Protein	P16615	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1	44	41	259	33	114.7	ATP2A2	2.16E+08	1.79E+08	2.05E+08	1.74E+08	1.78E+08	1.80E+08																																		
High	Master Protein	P30101	Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4	56	26	259	26	56.7	PDIA3	4.45E+08	3.78E+08	4.50E+08	4.64E+08	4.79E+08	4.53E+08																																		
High	Master Protein	O60437	Periplakin OS=Homo sapiens OX=9606 GN=PPL PE=1 SV=4	39	60	259	60	204.6	PPL	5.04E+07	4.84E+07	5.09E+07	7.31E+07	7.36E+07	7.79E+07																																		
High	Master Protein	P78347	General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=2	56	42	259	42	112.3	GTF2I	1.96E+08	1.58E+08	1.90E+08	1.68E+08	1.80E+08	1.62E+08																																		
High	Master Protein	P22392	Nucleoside diphosphate kinase B OS=Homo sapiens OX=9606 GN=NME2 PE=1 SV=1	84	13	259	3	17.3	NME2	2.13E+09	1.52E+09	2.28E+09	1.61E+09	1.49E+09	1.69E+09																																		
High	Master Protein	Q00341	Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2	45	43	258	43	141.4	HDLBP	1.74E+08	1.51E+08	1.61E+08	1.39E+08	1.35E+08	1.29E+08																																		
High	Master Protein	P49368	T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4	63	33	258	33	60.5	CCT3	4.26E+08	3.24E+08	4.00E+08	3.01E+08	3.04E+08	3.05E+08																																		
High	Master Protein	Q7KZF4	Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1	63	44	258	44	101.9	SND1	3.47E+08	3.00E+08	3.46E+08	2.70E+08	2.65E+08	2.92E+08																																		
High	Master Protein	Q9Y678	Coatomer subunit gamma-1 OS=Homo sapiens OX=9606 GN=COPG1 PE=1 SV=1	59	37	257	34	97.7	COPG1	2.05E+08	1.55E+08	2.01E+08	1.54E+08	1.37E+08	1.25E+08																																		
High	Master Protein	Q14789	Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2	30	69	254	69	375.8	GOLGB1	6.17E+07	5.63E+07	5.51E+07	3.84E+07	4.39E+07	4.10E+07																																		
High	Master Protein	P12236	ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4	67	18	253	3	32.8	SLC25A6	1.06E+08	9.58E+07	1.13E+08	5.94E+07	6.18E+07	6.31E+07																																		
High	Master Protein	P53618	Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=3	51	37	253	37	107.1	COPB1	2.32E+08	1.76E+08	2.54E+08	1.98E+08	1.72E+08	2.03E+08																																		
High	Master Protein	Q9UM54	Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6 PE=1 SV=4	49	52	253	52	149.6	MYO6	1.83E+08	1.43E+08	1.87E+08	9.84E+07	9.50E+07	1.01E+08																																		
High	Master Protein	P23246	"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2"	45	30	252	29	76.1	SFPQ	4.72E+08	4.17E+08	4.72E+08	3.11E+08	3.03E+08	3.22E+08																																		
High	Master Protein	P50990	T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4	70	34	251	34	59.6	CCT8	5.52E+08	5.17E+08	5.27E+08	3.76E+08	3.62E+08	3.94E+08																																		
High	Master Protein	P49736	DNA replication licensing factor MCM2 OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=4	51	36	251	36	101.8	MCM2	2.13E+08	1.77E+08	2.10E+08	1.13E+08	1.24E+08	1.12E+08																																		
High	Master Protein	Q10567	AP-1 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP1B1 PE=1 SV=3	58	39	250	24	104.5	AP1B1	4.16E+08	3.37E+08	4.51E+08	3.28E+08	2.99E+08	3.23E+08																																		
High	Master Protein	Q9H0U4	Ras-related protein Rab-1B OS=Homo sapiens OX=9606 GN=RAB1B PE=1 SV=1	76	13	250	6	22.2	RAB1B	4.94E+08	4.30E+08	5.21E+08	4.09E+08	4.42E+08	4.43E+08																																		
High	Master Protein	P31947	14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1	58	15	249	11	27.8	SFN	3.29E+07	2.57E+07	4.17E+07	2.50E+07	2.76E+07	3.40E+07																																		
High	Master Protein	P09874	Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4	56	46	249	46	113	PARP1	1.52E+08	1.30E+08	1.40E+08	1.10E+08	1.08E+08	1.20E+08																																		
High	Master Protein	O00571	ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3	58	32	247	31	73.2	DDX3X	3.66E+08	2.67E+08	4.28E+08	2.44E+08	2.29E+08	2.63E+08																																		
High	Master Protein	P35606	Coatomer subunit beta' OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2	60	38	247	38	102.4	COPB2	2.50E+08	2.50E+08	2.47E+08	1.72E+08	1.83E+08	1.83E+08																																		
High	Master Protein	Q13200	26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3	56	39	246	39	100.1	PSMD2	2.43E+08	1.98E+08	2.89E+08	1.70E+08	1.65E+08	1.78E+08																																		
High	Master Protein	Q99460	26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2	51	37	246	37	105.8	PSMD1	1.30E+08	1.08E+08	1.23E+08	9.94E+07	9.75E+07	1.08E+08																																		
High	Master Protein	P17858	"ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6"	59	31	245	26	85	PFKL	2.17E+08	1.47E+08	2.60E+08	1.78E+08	1.48E+08	1.83E+08																																		
High	Master Protein	O60264	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1	42	44	244	44	121.8	SMARCA5	1.18E+08	1.09E+08	1.10E+08	7.77E+07	7.38E+07	8.42E+07																																		
High	Master Protein	P17844	Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1	47	28	243	21	69.1	DDX5	3.31E+08	3.03E+08	3.34E+08	2.15E+08	2.07E+08	2.40E+08																																		
High	Master Protein	P04844	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens OX=9606 GN=RPN2 PE=1 SV=3	72	26	242	26	69.2	RPN2	3.73E+08	2.50E+08	3.62E+08	2.73E+08	2.60E+08	2.85E+08																																		
High	Master Protein	O95994	Anterior gradient protein 2 homolog OS=Homo sapiens OX=9606 GN=AGR2 PE=1 SV=1	61	9	241	8	20	AGR2	3.76E+08	2.08E+08	3.77E+08	1.66E+08	1.35E+08	1.61E+08																																		
High	Master Protein	Q01813	"ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens OX=9606 GN=PFKP PE=1 SV=2"	61	35	241	31	85.5	PFKP	4.15E+08	3.37E+08	4.13E+08	2.52E+08	2.53E+08	2.64E+08																																		
High	Master Protein	Q99832	T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2	76	31	240	31	59.3	CCT7	3.19E+08	2.57E+08	3.23E+08	1.90E+08	1.92E+08	1.98E+08																																		
High	Master Protein	P26640	Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=4	43	39	238	39	140.4	VARS1	1.65E+08	1.37E+08	1.59E+08	1.03E+08	9.06E+07	9.23E+07																																		
High	Master Protein	O60610	Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2	45	49	238	47	141.3	DIAPH1	1.21E+08	9.71E+07	1.26E+08	7.50E+07	6.59E+07	8.08E+07																																		
High	Master Protein	Q8WXH0	Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=3	17	79	238	79	795.9	SYNE2	6.14E+07	4.42E+07	6.35E+07	4.47E+07	3.76E+07	4.54E+07																																		
High	Master Protein	Q9UQE7	Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2	48	49	236	49	141.5	SMC3	9.79E+07	1.07E+08	1.19E+08	8.19E+07	7.22E+07	6.42E+07																																		
High	Master Protein	Q15029	116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1	60	39	235	38	109.4	EFTUD2	1.40E+08	1.01E+08	1.44E+08	1.13E+08	1.18E+08	1.18E+08																																		
High	Master Protein	P04843	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=RPN1 PE=1 SV=1	63	31	234	31	68.5	RPN1	6.97E+08	5.07E+08	6.58E+08	4.55E+08	4.84E+08	5.04E+08																																		
High	Master Protein	P09651	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5	54	20	234	6	38.7	HNRNPA1	4.69E+08	3.36E+08	4.62E+08	4.18E+08	4.35E+08	4.31E+08																																		
High	Master Protein	Q86UP2	Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1	43	52	234	52	156.2	KTN1	6.46E+07	5.68E+07	6.73E+07	5.95E+07	5.75E+07	6.22E+07																																		
High	Master Protein	P43304	"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=3"	69	39	232	39	80.8	GPD2	1.88E+08	1.45E+08	2.13E+08	1.51E+08	1.63E+08	1.45E+08																																		
High	Master Protein	Q5VYK3	Proteasome adapter and scaffold protein ECM29 OS=Homo sapiens OX=9606 GN=ECPAS PE=1 SV=2	37	48	232	48	204.2	ECPAS	9.94E+07	6.38E+07	1.14E+08	6.24E+07	5.69E+07	7.23E+07																																		
High	Master Protein	Q15075	Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2	47	53	232	53	162.4	EEA1	8.05E+07	7.42E+07	8.35E+07	5.44E+07	5.85E+07	5.97E+07																																		
High	Master Protein	P84077	ADP-ribosylation factor 1 OS=Homo sapiens OX=9606 GN=ARF1 PE=1 SV=2	79	12	231	2	20.7	ARF1	4.72E+08	3.25E+08	3.85E+08	4.20E+08	3.85E+08	3.79E+08																																		
High	Master Protein	P33993	DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4	61	38	231	38	81.3	MCM7	2.65E+08	1.84E+08	2.70E+08	1.29E+08	1.30E+08	1.32E+08																																		
High	Master Protein	Q93009	Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=2	51	42	230	42	128.2	USP7	1.09E+08	8.30E+07	1.11E+08	7.35E+07	8.96E+07	8.98E+07																																		
High	Master Protein	O15020	"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3"	32	51	230	43	271.2	SPTBN2	4.28E+07	3.31E+07	3.97E+07	5.24E+07	5.84E+07	5.94E+07																																		
High	Master Protein	P50991	T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4	64	28	229	27	57.9	CCT4	5.31E+08	4.02E+08	4.82E+08	3.26E+08	3.54E+08	3.44E+08																																		
High	Master Protein	P49411	"Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2"	66	28	229	28	49.5		3.64E+08	3.64E+08	3.77E+08	2.98E+08	3.01E+08	2.99E+08																																		
High	Master Protein	Q02218	"2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=3"	52	39	229	39	115.9	OGDH	1.26E+08	9.22E+07	1.34E+08	1.06E+08	9.86E+07	1.05E+08																																		
High	Master Protein	Q8TEX9	Importin-4 OS=Homo sapiens OX=9606 GN=IPO4 PE=1 SV=2	53	35	228	35	118.6	IPO4	1.19E+08	7.19E+07	1.37E+08	1.08E+08	1.07E+08	1.06E+08																																		
High	Master Protein	P05455	Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2	58	29	228	29	46.8	SSB	2.32E+08	1.53E+08	2.42E+08	1.99E+08	2.04E+08	1.89E+08																																		
High	Master Protein	Q14203	Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=3	48	43	227	43	141.6	DCTN1	9.37E+07	8.23E+07	9.59E+07	7.44E+07	6.82E+07	7.38E+07																																		
High	Master Protein	P46013	Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2	29	62	227	62	358.5	MKI67	6.13E+07	6.51E+07	5.81E+07	3.61E+07	3.28E+07	3.52E+07																																		
High	Master Protein	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1	49	34	227	34	92.8	MCM6	2.30E+08	1.89E+08	2.13E+08	1.16E+08	1.25E+08	1.26E+08																																		
High	Master Protein	Q15233	Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4	56	22	227	21	54.2	NONO	3.23E+08	3.18E+08	3.30E+08	2.58E+08	2.37E+08	2.61E+08																																		
High	Master Protein	P42224	Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2	52	32	226	32	87.3	STAT1	1.78E+08	1.29E+08	1.64E+08	3.44E+08	3.34E+08	3.36E+08																																		
High	Master Protein	Q14160	Protein scribble homolog OS=Homo sapiens OX=9606 GN=SCRIB PE=1 SV=5	42	45	226	43	174.8	SCRIB	9.16E+07	5.94E+07	9.60E+07	7.78E+07	7.24E+07	8.89E+07																																		
High	Master Protein	P17987	T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1	69	29	226	29	60.3	TCP1	2.65E+08	2.21E+08	2.73E+08	2.03E+08	2.20E+08	2.16E+08																																		
High	Master Protein	P50570	Dynamin-2 OS=Homo sapiens OX=9606 GN=DNM2 PE=1 SV=2	55	37	226	22	98	DNM2	1.67E+08	1.47E+08	1.63E+08	1.65E+08	1.69E+08	1.73E+08																																		
High	Master Protein	P61204	ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2	73	11	225	1	20.6	ARF3	2.16E+05		3.40E+05	2.25E+05	1.67E+05																																			
High	Master Protein	P33991	DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5	54	39	225	39	96.5	MCM4	1.93E+08	1.56E+08	2.00E+08	1.01E+08	1.06E+08	1.16E+08																																		
